match_id,home_team,away_team,mode,run_at_brasilia,cron_hint,command
GRP_A01,USA,Panama,T_24H,2026-06-10 14:00,0 14 10 6 *,python scripts/predict_match.py --match-id GRP_A01 --mode T_24H
GRP_A01,USA,Panama,T_2H,2026-06-11 12:00,0 12 11 6 *,python scripts/predict_match.py --match-id GRP_A01 --mode T_2H
GRP_A01,USA,Panama,T_1H,2026-06-11 13:00,0 13 11 6 *,python scripts/predict_match.py --match-id GRP_A01 --mode T_1H
GRP_A02,Mexico,Honduras,T_24H,2026-06-10 17:00,0 17 10 6 *,python scripts/predict_match.py --match-id GRP_A02 --mode T_24H
GRP_A02,Mexico,Honduras,T_2H,2026-06-11 15:00,0 15 11 6 *,python scripts/predict_match.py --match-id GRP_A02 --mode T_2H
GRP_A02,Mexico,Honduras,T_1H,2026-06-11 16:00,0 16 11 6 *,python scripts/predict_match.py --match-id GRP_A02 --mode T_1H
GRP_A03,USA,Mexico,T_24H,2026-06-14 14:00,0 14 14 6 *,python scripts/predict_match.py --match-id GRP_A03 --mode T_24H
GRP_A03,USA,Mexico,T_2H,2026-06-15 12:00,0 12 15 6 *,python scripts/predict_match.py --match-id GRP_A03 --mode T_2H
GRP_A03,USA,Mexico,T_1H,2026-06-15 13:00,0 13 15 6 *,python scripts/predict_match.py --match-id GRP_A03 --mode T_1H
GRP_A04,Panama,Honduras,T_24H,2026-06-14 17:00,0 17 14 6 *,python scripts/predict_match.py --match-id GRP_A04 --mode T_24H
GRP_A04,Panama,Honduras,T_2H,2026-06-15 15:00,0 15 15 6 *,python scripts/predict_match.py --match-id GRP_A04 --mode T_2H
GRP_A04,Panama,Honduras,T_1H,2026-06-15 16:00,0 16 15 6 *,python scripts/predict_match.py --match-id GRP_A04 --mode T_1H
GRP_A05,USA,Honduras,T_24H,2026-06-18 17:00,0 17 18 6 *,python scripts/predict_match.py --match-id GRP_A05 --mode T_24H
GRP_A05,USA,Honduras,T_2H,2026-06-19 15:00,0 15 19 6 *,python scripts/predict_match.py --match-id GRP_A05 --mode T_2H
GRP_A05,USA,Honduras,T_1H,2026-06-19 16:00,0 16 19 6 *,python scripts/predict_match.py --match-id GRP_A05 --mode T_1H
