match_id,date_utc,date_brasilia,stage,group,home_team,away_team,stadium,city,country,status
GRP_A01,2026-06-11 17:00,2026-06-11 14:00,group,A,USA,Panama,MetLife Stadium,East Rutherford,USA,scheduled
GRP_A02,2026-06-11 20:00,2026-06-11 17:00,group,A,Mexico,Honduras,AT&T Stadium,Arlington,USA,scheduled
GRP_A03,2026-06-15 17:00,2026-06-15 14:00,group,A,USA,Mexico,SoFi Stadium,Inglewood,USA,scheduled
GRP_A04,2026-06-15 20:00,2026-06-15 17:00,group,A,Panama,Honduras,Levi's Stadium,Santa Clara,USA,scheduled
GRP_A05,2026-06-19 20:00,2026-06-19 17:00,group,A,USA,Honduras,MetLife Stadium,East Rutherford,USA,scheduled
GRP_A06,2026-06-19 20:00,2026-06-19 17:00,group,A,Panama,Mexico,Rose Bowl,Pasadena,USA,scheduled
GRP_B01,2026-06-12 17:00,2026-06-12 14:00,group,B,Canada,Croatia,BMO Field,Toronto,Canada,scheduled
GRP_B02,2026-06-12 20:00,2026-06-12 17:00,group,B,Morocco,Belgium,AT&T Stadium,Arlington,USA,scheduled
GRP_B03,2026-06-16 17:00,2026-06-16 14:00,group,B,Canada,Morocco,BC Place,Vancouver,Canada,scheduled
GRP_B04,2026-06-16 20:00,2026-06-16 17:00,group,B,Croatia,Belgium,MetLife Stadium,East Rutherford,USA,scheduled
GRP_B05,2026-06-20 20:00,2026-06-20 17:00,group,B,Canada,Belgium,BMO Field,Toronto,Canada,scheduled
GRP_B06,2026-06-20 20:00,2026-06-20 17:00,group,B,Croatia,Morocco,Estadio Azteca,Mexico City,Mexico,scheduled
GRP_C01,2026-06-12 23:00,2026-06-12 20:00,group,C,Argentina,Ecuador,MetLife Stadium,East Rutherford,USA,scheduled
GRP_C02,2026-06-13 02:00,2026-06-12 23:00,group,C,Colombia,Paraguay,SoFi Stadium,Inglewood,USA,scheduled
GRP_C03,2026-06-16 23:00,2026-06-16 20:00,group,C,Argentina,Colombia,AT&T Stadium,Arlington,USA,scheduled
GRP_C04,2026-06-17 02:00,2026-06-16 23:00,group,C,Ecuador,Paraguay,Hard Rock Stadium,Miami,USA,scheduled
GRP_C05,2026-06-21 00:00,2026-06-20 21:00,group,C,Argentina,Paraguay,MetLife Stadium,East Rutherford,USA,scheduled
GRP_C06,2026-06-21 00:00,2026-06-20 21:00,group,C,Ecuador,Colombia,SoFi Stadium,Inglewood,USA,scheduled
GRP_D01,2026-06-13 17:00,2026-06-13 14:00,group,D,Germany,Italy,MetLife Stadium,East Rutherford,USA,scheduled
GRP_D02,2026-06-13 20:00,2026-06-13 17:00,group,D,Netherlands,Denmark,AT&T Stadium,Arlington,USA,scheduled
GRP_D03,2026-06-17 17:00,2026-06-17 14:00,group,D,Germany,Netherlands,Levi's Stadium,Santa Clara,USA,scheduled
