team,fifa_code,confederation,elo,fifa_ranking,attack_rating,defense_rating
Argentina,ARG,CONMEBOL,2090,1,1.42,1.38
France,FRA,UEFA,2050,2,1.35,1.30
England,ENG,UEFA,2010,3,1.28,1.25
Brazil,BRA,CONMEBOL,2000,4,1.32,1.20
Spain,ESP,UEFA,1990,5,1.30,1.28
Portugal,POR,UEFA,1980,6,1.33,1.22
Netherlands,NED,UEFA,1960,7,1.25,1.18
Belgium,BEL,UEFA,1930,8,1.20,1.15
Germany,GER,UEFA,1940,9,1.22,1.18
Italy,ITA,UEFA,1920,10,1.15,1.20
USA,USA,CONCACAF,1820,11,1.10,1.05
Morocco,MAR,CAF,1800,12,1.08,1.10
Japan,JPN,AFC,1790,13,1.12,1.08
Uruguay,URU,CONMEBOL,1810,14,1.15,1.12
Colombia,COL,CONMEBOL,1790,15,1.18,1.05
Mexico,MEX,CONCACAF,1750,16,1.08,1.00
Senegal,SEN,CAF,1760,17,1.10,1.05
Ecuador,ECU,CONMEBOL,1720,18,1.05,1.02
Croatia,CRO,UEFA,1760,19,1.12,1.10
Switzerland,SUI,UEFA,1740,20,1.08,1.08
Iran,IRN,AFC,1700,21,1.00,1.05
South Korea,KOR,AFC,1710,22,1.05,1.00
Canada,CAN,CONCACAF,1690,23,1.02,1.00
Australia,AUS,AFC,1680,24,1.02,0.98
Denmark,DEN,UEFA,1730,25,1.08,1.10
Austria,AUT,UEFA,1720,26,1.05,1.02
Ukraine,UKR,UEFA,1700,27,1.05,1.00
Turkey,TUR,UEFA,1710,28,1.08,1.00
Saudi Arabia,KSA,AFC,1660,29,0.98,0.95
Nigeria,NGA,CAF,1680,30,1.05,0.95
Cameroon,CMR,CAF,1640,31,1.00,0.92
Ivory Coast,CIV,CAF,1660,32,1.02,0.95
Egypt,EGY,CAF,1650,33,1.00,0.98
Algeria,ALG,CAF,1630,34,0.98,0.95
South Africa,RSA,CAF,1600,35,0.95,0.92
Mali,MLI,CAF,1620,36,0.98,0.90
DR Congo,COD,CAF,1590,37,0.95,0.88
Tunisia,TUN,CAF,1610,38,0.96,0.93
Panama,PAN,CONCACAF,1620,39,0.95,0.98
Honduras,HON,CONCACAF,1580,40,0.90,0.88
Costa Rica,CRC,CONCACAF,1590,41,0.92,0.90
Paraguay,PAR,CONMEBOL,1640,42,0.95,0.98
Venezuela,VEN,CONMEBOL,1610,43,0.95,0.92
Bolivia,BOL,CONMEBOL,1550,44,0.88,0.85
Iraq,IRQ,AFC,1610,45,0.95,0.92
Uzbekistan,UZB,AFC,1600,46,0.92,0.90
Jordan,JOR,AFC,1570,47,0.88,0.88
New Zealand,NZL,OFC,1530,48,0.85,0.85
